"symbol","logFC","pvalue"
"Csn1s2b",0.0425334348137048,0.999954071998406
"Slc25a1",0.327743835698213,0.947410988484717
"Atp2b2",-0.57994143210207,0.500142352680055
"Slc34a2",0.206510444116733,0.978314032779171
"Acacb",-0.323255955125747,0.844527626140088
"Egf",-0.0430760764886227,0.999927840451691
"Slc30a2",1.72333557185496,0.000578841584867394
"Elovl5",0.353184431121979,0.943805249400396
"Rbp1",0.584746185828774,0.542686798801687
"Ceacam10",0.324217200764591,0.957054739397481
"Ddah1",0.655690862196858,0.359833925727036
"Cidea",-4.01990178389206,0.000173564115060541
"Pmvk",-0.714172270298444,0.241580588821099
"St6gal1",-0.832150804725376,0.361368435321281
"Ppl",-0.0954095591175692,0.999917847183294
"Elovl6",-0.100077265580863,0.940520261119659
"Ggt1",-2.06234427860085,0.0866997133165315
"Slc39a8",-0.1805861374262,0.992689167699713
"Slc39a4",2.22971587128954,0.00225972151196832
"Scd1",0.563698643783232,0.539325706935927
"Cited1",-0.541313849962891,0.577905997535253
"Kcnk6",-0.0865703968365734,0.997269437717172
"Slc7a4",0.0740697247727669,0.94084134459458
"Tc2n",-0.181764063108218,0.989096774575133
"Lgals12",1.44059642916293,0.46756540601279
"Slc33a1",1.20837945757048,0.0116884773463461
"Ctsc",-3.37927315088971,0.000538831853130889
"Ptgs1",-0.552570798175451,0.560886269807326
"Osbpl1a",-0.0888321318275693,0.963415898749816
"Eloa",0.405915842480232,0.939358682833945
"Lpo",-0.275751497897296,0.965376718885033
"BC006965",-2.37639225980551,8.84188585341425e-09
"Tor3a",2.14188265013277,0.0367077312822079
"Acss2",0.263459170422932,0.954716762425694
"Acat2",-0.294647406753009,0.795113604198222
"Eef2k",1.43379475173099,0.0686325310349195
"Steap1",-0.0835782849035072,0.99452617284179
"Mfsd4a",0.231544229047041,0.997352686110764
"Gjb1",0.634958269404606,0.357904829903406
"Fkbp11",-1.17446858726642,2.20038996161048e-05
"Insig1",0.891790722840414,0.0125206789520555
"Dnajc6",-1.62585734965611,5.51114474982061e-06
"Bhlha15",-0.519841101506378,0.654611736056788
"Asah1",0.380110695001196,0.979292928351656
"Acat3",-0.338096395360004,0.940183488921185
"Oxct1",-0.188676638358343,0.992184439501277
"Acot1",0.712202248605809,0.476478184149639
"Gsdmc",0.199277246815001,0.994863307583689
"Acadsb",-0.159875787842999,0.998499064747461
"Orm1",-1.31644053626334,0.000350098530761208
"Anpep",-1.15405350169486,0.336427092351473
"Prkaa2",0.131822998315067,0.999778843289725
"Gprc5b",-0.446959828843083,0.708463591133843
"Aldoc",-0.3878970095101,0.789582422487672
"Slc1a3",2.03906488502061,0.0921925164452376
"Sectm1a",-0.39455380058308,0.95577895470283
"Ttyh1",-0.0704297209553029,0.999310707242782
"Acly",-0.817182707519576,0.0733096242789725
